Subject,Catalog Number,Title,Professors
HON,430,Special Topics Seminars,"Heather Lusty, William Doyle, Oksana Marafioti, Joanna Kepka"
HON,440,Special Topics Seminars,"Heather Lusty, Michelle Turk"
HSC,100,Intro to Academ and Sch in HSC,"Jeremy Meronuck, Kayla de Guzman, Kit Yee Leung"
HSC,103,Intro to OT,Teresa Liccardo
HSC,700,Statistics I,Richard Tandy
HSC,706,Writing and Communication,Brian Schilling
IDS,201,Interdisciplinary Studies,"Sheila Bock, Constancio Arnaldo"
IDS,494,Interdisciplinary Inquiry,"Sheila Bock, Tanachai Padoongpatt"
IDS,495A,IDS Capstone,"Kendra Gage, Tanachai Padoongpatt"
INTM,5000,High Value Care,
IPSM,606,College Athletic Admin,Lisa Kelleher
IS,101,Intro to Info Systems,", Justin Griggs, Cha Jan Chang, Andrew Hardin"
IS,330,Tech and Innovation,"Michael Sherwood, Christopher Craig, Cha Jan Chang, Kenneth Peffers"
IS,335,Business Analytics,"Sutirtha Chatterjee, Huston Pullen, Rajiv Kishore, Marcus Rothenberger, Justin Griggs"
IS,380,Object-Oriented Program,Sutirtha Chatterjee
ITAL,113,Elementary Italian I,"Michelina Ginobbi, Giuseppe Natale"
ITAL,114,Elementary Italian II,MARINA COLACICCHI
JMS,613,History of Journalism,Gregory Borchard
JMS,650,Media Innov and Society,David Nourse
JOUR,107,Media: Foundations,Denitsa Yotova
JOUR,207,Media: Words and Numbers,Todd Witcher
JOUR,209,Mobile Storytelling,Jon Castagnino
JOUR,211,Storytelling and Design,Todd Witcher
JOUR,310,Advanced Reporting,Gregory Borchard
JOUR,401,1st Amendment & Society,", Stephen Bates"
JOUR,411,Digital Newsroom,Michael Easter
JOUR,413,History of Journalism,Gregory Borchard
JOUR,435,Mass Comm Rsrch Methods,"Linda Dam, Julian Kilker"
JOUR,450,"Media, Innovation, & Soc",David Nourse
JOUR,475,Global Media,Denitsa Yotova
KIN,170,Intro Kinesiology w/Lab,"Leonardo Lozano, Christian Haugen"
KIN,175,Physical Activity and Health,Dawn Borjas
KIN,200,Stats for the Health Sci,"Richard Tandy, Jennifer Scharf, Andrew Hooyman"
KIN,223,Human Anatomy and Physiology I,"Van Whaley, Charli Aguilar"
KIN,224,Human Anatomy & Physiology II,"Van Whaley, Charli Aguilar"
KIN,245,Anat Kinesiology,"James Navalta, Maria Gomez-Mejia, Kara Radzak, Jeremy Haas, Michael Wong"
KIN,261,Phys Activity in Aging,Vaune Kadlubek
KIN,316,Motor Devel Acrs Lifespan,"Vaune Kadlubek, Christian Haugen, Harjiv Singh"
KIN,350,Soc Psych of Physical Activ,"Sharon Jalene, Catherine Brotman"
KIN,408,Sci Basis Strength Devel,Bracher Poston
KIN,411,1st Resp & Mil Human Perf,"Kathryn Bell, Brian Schilling"
KIN,414,Enhance Mental/Motor Abil,"Maria Gomez-Mejia, Harjiv Singh"
KIN,424,KIN PRO DEV,"Tony Terrell, Emmanuel Ayim"
KIN,465,Neurophys of Mvmt,Bracher Poston
KIN,496X,Advanced Clinical Anatomy,Kara Radzak
KIN,611,First Resp & Military Perf,Brian Schilling
KIN,751,Sel App Stat Tech I,Richard Tandy
